"","x"
"439","@SpaceX is far better funded, qualified, and willing to execute than @NASA. https://t.co/hflyLdulBT"
"440","RT @WarVet_MarsOne: NASA says it will cost 450 billion to get to Mars. 
https://t.co/BVekgiXtvA
#nasa #esa #mars #marsone #spacex #science…"
"441","#SpaceVR, @SpaceX  to launch #VR camera into space, bringing the astronaut experience to all https://t.co/GivupdYv8o via @mashable"
"442","SpaceX Falcon 9 Comes Roaring Back to Life with Dramatically Successful Iridium Fleet Launch and Ocean Ship Land… https://t.co/LFKUoqoIKo"
"443","I guess I hadn't driven by it in awhile but just noticed that @SpaceX mounted #Falcon9 outside their headquarters https://t.co/GQCHxRHgzu"
"444","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all. https://t.co/ZO6YMvu3F6"
"445","@SpaceX working with @NASA to identify landing spots on #Mars https://t.co/IrZYRdTiEq @etherington @techcrunch… https://t.co/wZKlrTZe00"
"446","RT @FabriceBalique: #science
le monde avance la #France dort
réveillez vous !
SpaceX Falcon XX Rocket https://t.co/8rslZ65RmH via @YouTube"
"447","@JeebanjyotiR Did SpaceX land on Mars yet? We'll tell you when it happens. Subscribe to Elon Musk News https://t.co/uhzxzvIELZ"
"448","RT @astronomymedia: SpaceX has announced that it will fly two paying citizens around the Moon in late-2018 in a Dragon spacecraft.

https:/…"
"449","@Umer66722723 Have you seen our cool Tesla &amp; SpaceX Themed Apparel? https://t.co/pUOWG44uAR"
"450","RT @glxp: An awesome goal from #SpaceX: https://t.co/7ujtb94riZ @SPACEdotcom @MichaelDWall"
"451","RT @timsandle: New data shows Mars had an atmosphere like a Earth's but most was lost to a solar wind #mars #MARS #solar #planets #space #S…"
"452","@SimonNkuna13 Get our curated publication on Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, and OpenAI https://t.co/uhzxzvIELZ"
"453","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/KAHZOYEiAd"
"454","@passifdu95 Get our curated publication about Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, &amp; OpenAI https://t.co/uhzxzvIELZ"
"455","#VR cameras and outer space https://t.co/B4FWZ1k1AW"
"456","#Avio: Αυτή είναι η Ιταλική «απάντηση» στην #SpaceX -&gt; https://t.co/nDHdh0nJgJ https://t.co/4L9cvmmPw7"
"457","RT @ArsTechnicaUK: Legendary flight director praises #SpaceX for “taking risks” https://t.co/5gPb4jRnMx by @SciGuySpace #NASA https://t.co/…"
"458","RT @SalihSarikaya: SpaceX is taking SpaceVR’s cameras into orbit to deliver the astronaut experience to everyone through VR https://t.co/6y…"
"459","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/qGqhVVwiwd via @mashable"
"460","Donuts and design #hyperloop #spacex #cudenver https://t.co/d9F3aVOSLL"
"461","SpaceX announces date for second Hyperloop pod competition
https://t.co/egjI1etnTj https://t.co/T7OGSlBgQp"
"462","RT @SpaceX: More photos from today’s Falcon 9 launch and first stage landing → https://t.co/095WHX44BX https://t.co/c3UYhMrDec"
"463","@lpolovets @semil SpaceX - just a gif. https://t.co/8YgaoLhDmk"
"464","SpaceX prepping for two launches from KSC, landing at Cape https://t.co/ElqXfn9sZu"
"465","SpaceX announces date for second Hyperloop pod competition https://t.co/VarQ4q7Fxe https://t.co/dloiBh8WhM"
"466","RT @SpaceX: Back live for final burn and satellite deployment → https://t.co/gtC39uBC7z"
"467","RT @Vikezmedia: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/zlVXQhkaIW #VirtualRe…"
"468","RT @DowdEdward: Maybe the ""Norks"" could outsource their rockets to Elon's #SpaceX? https://t.co/5DFZMJ7fta"
"469","SpaceX Dragon V2 | Unveil Event https://t.co/HMnH1xo4ll via @YouTube"
"470","NASA says it will cost 450 billion to get to Mars. 
https://t.co/BVekgiXtvA
#nasa #esa #mars #marsone #spacex #science #warvetmarsone"
"471","RT @SalihSarikaya: SpaceX is taking SpaceVR’s cameras into orbit to deliver the astronaut experience to everyone through VR https://t.co/6y…"
"472","Maybe the ""Norks"" could outsource their rockets to Elon's #SpaceX? https://t.co/5DFZMJ7fta"
"473","RT @ajitjohnson_n: SpaceX ������edited three video feeds together to make an incredible supercut of the booster landing, and it's best to watch…"
"474","RT @DowdEdward: Elon Musk is going to take 2 people to the moon by 2018.Requires an Apollo size rocket...he has never built or tested one t…"
"475","RT @flwaustralia: SpaceX Launches First Reusable Orbital Rocket @DefenseTech  @DefenceScience  @WIRED @AustralianArmy  https://t.co/LIEdjzl…"
"476","RT @flwaustralia: SpaceX Launches First Reusable Orbital Rocket @DefenseTech  @DefenceScience  @WIRED @AustralianArmy  https://t.co/LIEdjzl…"
"477","RT @Hyperloop: Date set ✓
Teams invited ✓
Track tested ✓
All systems go for @SpaceX's Hyperloop Competition II → https://t.co/CoIedEujWn ht…"
"478","SpaceX is taking SpaceVR’s cameras into orbit to deliver the astronaut experience to everyone through VR… https://t.co/QZ4RN8mT1a"
"479","https://t.co/wXy0tnKEBQ #Spacex"
"480","SpaceX is taking SpaceVR’s cameras into orbit to deliver the astronaut experience to everyone through VR https://t.co/6yOpZJgkNp"
"481","SpaceX Just Re-Used a Rocket. Why This Changes Everything https://t.co/26cJzpmvi8 https://t.co/gmU7mT4W0s"
"482","SpaceX is taking SpaceVR's cameras into orbit to deliver the astronaut experience to everyone https://t.co/2jwmdimhre @DigitalReview_"
"483","SpaceX is taking SpaceVR's cameras into orbit to deliver the astronaut experience to everyone https://t.co/iyXrdWXIXm @DigitalReview_"
"484","RT @flwaustralia: SpaceX Launches First Reusable Orbital Rocket @DefenseTech  @DefenceScience  @WIRED @AustralianArmy  https://t.co/LIEdjzl…"
"485","SpaceVR SpaceX to launch VR camera into space bringing the astronaut experience to all

Perfect 4 #TalkingOnTheMoon  https://t.co/NMWtZnuntg"
"486","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"487","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/xSn0SyMrJ0"
"488","SpaceX Announces Second Hyperloop Competition @xiQai https://t.co/TCRXTIh7ho"
"489","RT @check123com: SpaceX is going to take you to Mars!!
Video: https://t.co/6TAb7BYmFZ
#Space #spacex https://t.co/sPUPMuG1cy"
"490","Elon Musk has job openings for 473 people at SpaceX — here&amp;#039;s who it&amp;#039;s hiring - #startup https://t.co/6lfib58ygv"
"491","SpaceX Launches First Reusable Orbital Rocket @DefenseTech  @DefenceScience  @WIRED @AustralianArmy  https://t.co/LIEdjzlQ21"
"492","@Moon_Explorers @SpaceX @MarsOneProject Agreed it was really poorly researched @BBCFOUR , no mention of ITS either"
"493","RT @SPACEdotcom: Miss the #SpaceX launch/landing? Don't fret. We've got all the video evidence: https://t.co/WLskCwCJyC https://t.co/2YuCqT…"
"494","Tesla and SpaceX CEO Elon Musk: Master Of Time Management, Workaholic https://t.co/eCUOV6Kyp8 https://t.co/50MbblBISP"
"495","RT @Vikezmedia: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/zlVXQhkaIW #VirtualRe…"
"496","Elon Musk is going to take 2 people to the moon by 2018.Requires an Apollo size rocket...he has never built or test… https://t.co/TBpxB6CVnB"
"497","Elon Musk heralds ‘huge revolution in space travel’ after historic SpaceX mission https://t.co/rKGnrPx8WY"
"498","@Kevin_Fong your Mars doc was a bit disingenuous towards SpaceX, no mention of ITS or the re-entry successes"
"499","Music industry better off now becuz ppl pay $10/mo for streaming amd increasingly dependent (no personal collection

https://t.co/eToy2VkS0q"
"500","I have arrived... @InterplanetTSys @MerlinTheEngine @SpaceX"
